1, none, minecraft:the_void, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 1, 1
2, none, minecraft:the_void, MONSTER, born_in_chaos_v1:supreme_bonescaller, 3, 1, 1
3, none, minecraft:the_void, MONSTER, undead_revamp2:invisiblebidy, 8, 1, 4
4, none, minecraft:the_void, MONSTER, undead_revamp2:thehorrors, 2, 1, 1
5, none, minecraft:the_void, MONSTER, born_in_chaos_v1:mr_pumpkin, 2, 1, 3
6, none, minecraft:the_void, MONSTER, born_in_chaos_v1:skeleton_thrasher, 8, 1, 1
7, none, minecraft:the_void, MONSTER, born_in_chaos_v1:door_knight, 20, 1, 1
8, none, minecraft:the_void, MONSTER, born_in_chaos_v1:baby_skeleton_2, 15, 1, 2
9, none, minecraft:the_void, MONSTER, born_in_chaos_v1:wither_scuttler, 20, 1, 1
10, none, minecraft:the_void, MONSTER, born_in_chaos_v1:swarmer, 10, 1, 1
11, none, minecraft:the_void, MONSTER, undead_revamp2:sucker, 7, 2, 3
12, none, minecraft:the_void, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
13, none, minecraft:the_void, MONSTER, born_in_chaos_v1:restless_spirit, 17, 1, 1
14, none, minecraft:the_void, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
15, none, minecraft:the_void, MONSTER, born_in_chaos_v1:spirit_guide, 20, 1, 1
16, none, minecraft:the_void, MONSTER, born_in_chaos_v1:corpse_fly, 1, 1, 3
17, none, minecraft:the_void, MONSTER, undead_revamp2:thehunter, 6, 2, 4
18, none, minecraft:the_void, MONSTER, undead_revamp2:bomber, 7, 1, 2
19, none, minecraft:the_void, MONSTER, undead_revamp2:thegliter, 20, 2, 4
20, none, minecraft:the_void, MONSTER, born_in_chaos_v1:nightmare_stalker, 4, 1, 1
21, none, minecraft:the_void, MONSTER, undead_revamp2:theswarmer, 8, 1, 1
22, none, minecraft:the_void, MONSTER, undead_revamp2:thebidy, 1, 3, 4
23, none, minecraft:the_void, MONSTER, undead_revamp2:thesmoker, 10, 1, 2
24, none, minecraft:the_void, MONSTER, undead_revamp2:theheavy, 1, 1, 1
25, none, minecraft:the_void, MONSTER, undead_revamp2:thebeartamer, 8, 1, 1
26, none, minecraft:the_void, MONSTER, born_in_chaos_v1:baby_skeleton, 20, 1, 2
27, none, minecraft:the_void, MONSTER, undead_revamp2:thespitter, 7, 1, 1
28, none, minecraft:the_void, MONSTER, born_in_chaos_v1:seared_spirit, 2, 1, 1
29, none, minecraft:the_void, MONSTER, undead_revamp2:thepregnant, 2, 1, 1
30, none, minecraft:the_void, MONSTER, undead_revamp2:thewolf, 4, 1, 2
31, none, minecraft:the_void, MONSTER, born_in_chaos_v1:barrel_zombie, 25, 1, 1
32, none, minecraft:the_void, MONSTER, undead_revamp2:invisiimmortal, 4, 4, 4
33, none, minecraft:the_void, MONSTER, undead_revamp2:the_moonflower, 2, 1, 1
34, none, minecraft:the_void, MONSTER, undead_revamp2:theordure, 4, 1, 1
35, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombie_clown, 20, 1, 1
36, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombie_fisherman, 25, 1, 1
37, none, minecraft:the_void, MONSTER, born_in_chaos_v1:shy_spirit, 11, 1, 1
38, none, minecraft:the_void, MONSTER, undead_revamp2:slaveman, 1, 1, 1
39, none, minecraft:the_void, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
40, none, minecraft:the_void, MONSTER, born_in_chaos_v1:decrepit_skeleton, 15, 1, 1
41, none, minecraft:the_void, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 9, 2, 2
42, none, minecraft:the_void, MONSTER, alexsmobs:farseer, 30, 1, 1
43, none, minecraft:the_void, MONSTER, undead_revamp2:thehorrorsdecoys, 3, 1, 2
44, none, minecraft:the_void, MONSTER, born_in_chaos_v1:skeleton_demoman, 8, 1, 1
45, none, minecraft:the_void, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
46, none, minecraft:the_void, MONSTER, born_in_chaos_v1:phantom_creeper, 8, 1, 1
47, none, minecraft:the_void, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
48, none, minecraft:the_void, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
49, none, minecraft:the_void, MONSTER, born_in_chaos_v1:zombie_bruiser, 20, 1, 1
50, none, minecraft:the_void, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 6, 1, 1
51, none, minecraft:the_void, CREATURE, born_in_chaos_v1:thornshell_crab, 8, 1, 1
52, none, minecraft:the_void, AMBIENT, alexsmobs:fly, 3, 1, 1
53, none, minecraft:the_void, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
54, none, minecraft:the_void, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 3, 1, 1
55, plains, minecraft:plains, MONSTER, minecraft:spider, 70, 4, 4
56, plains, minecraft:plains, MONSTER, minecraft:zombie, 70, 4, 4
57, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 5, 1, 1
58, plains, minecraft:plains, MONSTER, minecraft:skeleton, 70, 4, 4
59, plains, minecraft:plains, MONSTER, minecraft:creeper, 70, 4, 4
60, plains, minecraft:plains, MONSTER, minecraft:slime, 50, 4, 4
61, plains, minecraft:plains, MONSTER, minecraft:enderman, 15, 1, 4
62, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
63, plains, minecraft:plains, MONSTER, rottencreatures:undead_miner, 25, 1, 4
64, plains, minecraft:plains, MONSTER, enemyexpansion:rancher, 30, 1, 2
65, plains, minecraft:plains, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 1, 1
66, plains, minecraft:plains, MONSTER, born_in_chaos_v1:supreme_bonescaller, 3, 1, 1
67, plains, minecraft:plains, MONSTER, irons_spellbooks:necromancer, 20, 1, 1
68, plains, minecraft:plains, MONSTER, undead_revamp2:invisiblebidy, 8, 1, 4
69, plains, minecraft:plains, MONSTER, undead_revamp2:thehorrors, 2, 1, 1
70, plains, minecraft:plains, MONSTER, born_in_chaos_v1:mr_pumpkin, 2, 1, 3
71, plains, minecraft:plains, MONSTER, born_in_chaos_v1:skeleton_thrasher, 8, 1, 1
72, plains, minecraft:plains, MONSTER, born_in_chaos_v1:door_knight, 20, 1, 1
